project,hide_from_main_list,research,tools,creative_work,llms_and_data,visualization,interpretability,experts_using_ai,kyd,embeddings
Waterfall of meaning,false,,,x,x,x,x,,,x
Moodboard search,false,,,x,,,,x,,x
Reverse rorschach,false,,,x,,,,x,,
Toymaker,false,,,x,,,,,,
Visualizing Distributions of Language Model Generations,false,x,x,,x,x,x,,,
A gentle introduction to graph neural networks,false,x,,,,x,,,,
Linguistic Lens,false,x,x,,x,x,,,
Visualizing and understanding the geometry of BERT,false,x,,,x,x,x,,,x
Embedding projector,false,x,x,,x,x,x,,,x
Language interpretability tool,false,x,x,,,,x,,
Evaluating attribution for graph neural networks,true,x,,,,,x,,,
An interpretability illusion for BERT,true,x,,,,,x,,,x
LLM Comparator,false,x,x,,x,x,,,,
Know Your Data,false,,x,,x,x,,,x,
PALM + PALM2: RAI data analysis,false,x,,,x,,,,x,
A pretrainer's guide to training data,false,x,,,x,,,,x,
A recipe for arbitrary text style transfer with LLMs,false,x,,,x,,,,,
Automatic Histograms,false,x,x,,x,x,,,x,
Wordcraft writers workshop,false,x,x,x,,,,x,,
Probing pretraining data,false,x,,,x,,x,,x,x
NNs and gestalt,false,x,,,,,x,,,
SMILY: HITL tool for pathologists,false,x,x,,,,,x,,x
Superlative Instruments,false,,,x,,,,,,
Who's asking? User personas and the mechanics of latent misalignment,true,x,,,,,x,,,x
Understanding the dataset practitioners behind large language model development,true,x,,,x,,,,,
Data similarity is not enough to explain language model performance,true,x,,,x,,x,,x,x
LLM adoption in industry data curation practices,true,x,,,x,,,x,x,
SoUnD: analyzing social representation in unstructured data,true,x,,,x,,,,x,
RDoFlow: automatically assessing under-specified statistical analyses in HCI,true,x,,,,,,,,
The case for a single model that can both generate continuations and fill-in-the-blank,true,x,,,x,,,,,
Solar panel tracking and control (reinforcement learning),true,x,,,,,,x,,
